payload/osx/x64/say                                                                         normal     No     OS X x64 say Shellcode
payload/osx/x64/shell_find_tag                                                              normal     No     OSX Command Shell, Find Tag Inline
payload/osx/x64/meterpreter/bind_tcp                                                        normal     No     OSX Meterpreter, Bind TCP Stager
payload/osx/x64/meterpreter_reverse_http                                                    normal     No     OSX Meterpreter, Reverse HTTP Inline
payload/osx/x64/meterpreter_reverse_https                                                   normal     No     OSX Meterpreter, Reverse HTTPS Inline
payload/osx/x64/meterpreter_reverse_tcp                                                     normal     No     OSX Meterpreter, Reverse TCP Inline
payload/osx/x64/meterpreter/reverse_tcp                                                     normal     No     OSX Meterpreter, Reverse TCP Stager
payload/osx/x64/meterpreter/reverse_tcp_uuid                                                normal     No     OSX Meterpreter, Reverse TCP Stager with UUID Support (OSX x64)
payload/php/bind_php                                                                        normal     No     PHP Command Shell, Bind TCP (via PHP)
payload/php/bind_perl                                                                       normal     No     PHP Command Shell, Bind TCP (via Perl)
payload/php/bind_perl_ipv6                                                                  normal     No     PHP Command Shell, Bind TCP (via perl) IPv6
payload/php/bind_php_ipv6                                                                   normal     No     PHP Command Shell, Bind TCP (via php) IPv6
payload/php/shell_findsock                                                                  normal     No     PHP Command Shell, Find Sock
payload/php/reverse_php                                                                     normal     No     PHP Command Shell, Reverse TCP (via PHP)
payload/php/reverse_perl                                                                    normal     No     PHP Command, Double Reverse TCP Connection (via Perl)
payload/php/download_exec                                                                   normal     No     PHP Executable Download and Execute
payload/php/exec                                                                            normal     No     PHP Execute Command
payload/php/meterpreter/bind_tcp                                                            normal     No     PHP Meterpreter, Bind TCP Stager
payload/php/meterpreter/bind_tcp_ipv6                                                       normal     No     PHP Meterpreter, Bind TCP Stager IPv6
payload/php/meterpreter/bind_tcp_ipv6_uuid                                                  normal     No     PHP Meterpreter, Bind TCP Stager IPv6 with UUID Support
payload/php/meterpreter/bind_tcp_uuid                                                       normal     No     PHP Meterpreter, Bind TCP Stager with UUID Support
payload/php/meterpreter/reverse_tcp                                                         normal     No     PHP Meterpreter, PHP Reverse TCP Stager
payload/php/meterpreter/reverse_tcp_uuid                                                    normal     No     PHP Meterpreter, PHP Reverse TCP Stager
payload/php/meterpreter_reverse_tcp                                                         normal     No     PHP Meterpreter, Reverse TCP Inline
payload/cmd/windows/powershell/adduser                                                      normal     No     Powershell Exec
payload/cmd/windows/powershell/exec                                                         normal     No     Powershell Exec
payload/cmd/windows/powershell/format_all_drives                                            manual     No     Powershell Exec
payload/cmd/windows/powershell/loadlibrary                                                  normal     No     Powershell Exec
payload/cmd/windows/powershell/powershell_bind_tcp                                          normal     No     Powershell Exec
